Id,TIPO_PLACA,ANIO_DE_FABRICACION,CILINDRADA,CANTIDAD_DE_CILINDROS,CANTIDAD_DE_PUERTAS,VALOR_DEL_VEHICULO,COLORES,FECHA_DE_IMPORTACION,IMP_VALOR_DEL_VEHICULO,FECHA_DE_INGRESO,ANIO_INGRESO,MES_INGRESO,CLASE,PERTENENCIA,MARCA,MODELO,CAPACIDAD,COMBUSTIBLE,ADUANA,CONDICION_INGRESO,PROPIETARIO_DEPARTAMENTO,PROPIETARIO_MUNICIPIO,ESTADO
88905,PARTICULAR,1980,0,0,0,0,ROJO C/F MULTICOLOR,,0,25/11/1988,1988,11,PICK UP,PROPIEDAD,DATSUN,N/D,1,GASOLINA,,VEHICULO USADO,SAN SALVADOR,APOPA,ALTA
88906,PARTICULAR,1974,0,0,0,0,BLANCO,,0,31/10/1988,1988,10,PICK UP,PROPIEDAD,FORD,COURIER,0.5,GASOLINA,,VEHICULO USADO,SAN SALVADOR,MEJICANOS,ALTA
88907,PARTICULAR,1984,0,0,0,0,NEGRO CAFE,,0,25/11/1988,1988,11,AUTOMOVIL,PROPIEDAD,TOYOTA,N/D,5,GASOLINA,,VEHICULO USADO,SAN SALVADOR,SOYAPANGO,ALTA
88908,PARTICULAR,1985,3000,0,0,4766.17,GRIS NEGRO,,4766.17,14/5/1992,1992,5,AUTOMOVIL,PROPIEDAD,MITSUBISHI,MONTERO,5,GASOLINA,,VEHICULO USADO,SAN SALVADOR,SAN SALVADOR,ALTA
88909,PARTICULAR,1978,0,0,0,0,CAFE,,0,25/11/1988,1988,11,PICK UP,PROPIEDAD,FORD,COURIER,0.5,GASOLINA,,VEHICULO USADO,SONSONATE,IZALCO,BAJA
88910,PARTICULAR,1984,0,0,0,0,BLANCO,,0,25/11/1988,1988,11,PICK UP,PROPIEDAD,NISSAN,N/D,0.75,GASOLINA,,VEHICULO USADO,LA LIBERTAD,CIUDAD ARCE,ALTA
88911,PARTICULAR,1981,0,0,0,0,BEIGENEGROROSADOCELEST,,0,6/1/1989,1989,1,PICK UP,PROPIEDAD,TOYOTA,N/D,1,DIESEL,,VEHICULO USADO,SANTA ANA,STGO D LA FRONT,ALTA
88912,PARTICULAR,2005,1500,4,4,1339,GRIS,6/11/2013,1339,20/12/2013,2013,12,AUTOMOVIL,PROPIEDAD,KIA,RIO,5,GASOLINA,ALMACENADORA NEJAPA, S.A DE C.V,VEHICULO USADO,AHUACHAPAN,AHUACHAPAN,ALTA
88913,PARTICULAR,1984,0,0,0,0,BLANCO,,0,4/5/1989,1989,5,PANEL,PROPIEDAD,MERCEDES BENZ,N/D,1.4,DIESEL,,VEHICULO USADO,SAN SALVADOR,SAN SALVADOR,BAJA
88914,PARTICULAR,2011,1800,4,4,2759.66,MORADO,12/9/2013,2759.66,20/12/2013,2013,12,AUTOMOVIL,PROPIEDAD,NISSAN,CUBE,5,GASOLINA,ALMACENADORA NEJAPA, S.A DE C.V,VEHICULO USADO,SANTA ANA,SANTA ANA,ALTA
88915,PARTICULAR,1979,0,0,0,0,AMARILLO,,0,23/8/1993,1993,8,AUTOMOVIL,DEPOSITO,PONY,DELUXE,5,GASOLINA,,VEHICULO USADO,SAN SALVADOR,SOYAPANGO,BAJA
88916,MOTOCICLETA,2012,153,,,1891.82,ROJO/NEGRO,24/5/2012,1891.82,21/8/2012,2012,8,MOTOCICLETA,PROPIEDAD,YAMAHA,FZ 16,2,GASOLINA,MARITIMA DE ACAJUTLA,VEHICULO NUEVO,SAN SALVADOR,CIUDAD DELGADO,ALTA
88917,MOTOCICLETA,2012,153,,,1891.82,NEGRO,24/5/2012,1891.82,21/8/2012,2012,8,MOTOCICLETA,PROPIEDAD,YAMAHA,FZ 16,2,GASOLINA,MARITIMA DE ACAJUTLA,VEHICULO NUEVO,SAN SALVADOR,SAN SALVADOR,ALTA
88918,MOTOCICLETA,2012,153,,,1891.82,NEGRO,24/5/2012,1891.82,21/8/2012,2012,8,MOTOCICLETA,PROPIEDAD,YAMAHA,FZ 16,2,GASOLINA,MARITIMA DE ACAJUTLA,VEHICULO NUEVO,SAN SALVADOR,SAN SALVADOR,BAJA
88919,MOTOCICLETA,2012,125,,,1191.35,AZUL C/F GRIS/NEGRA,24/5/2012,1191.35,21/8/2012,2012,8,MOTOCICLETA,PROPIEDAD,YAMAHA,YBR 125 ED,2,GASOLINA,MARITIMA DE ACAJUTLA,VEHICULO NUEVO,SAN SALVADOR,SAN SALVADOR,ALTA
88920,MOTOCICLETA,2013,125,,,1157.09,ROJO C/F GRIS/NEGRA,14/6/2012,1157.09,21/8/2012,2012,8,MOTOCICLETA,PROPIEDAD,YAMAHA,YBR 125 ED,2,GASOLINA,MARITIMA DE ACAJUTLA,VEHICULO NUEVO,SAN SALVADOR,CIUDAD DELGADO,ALTA
88921,MOTOCICLETA,2014,125,,,676.09,ROJO,7/8/2013,676.09,27/12/2013,2013,12,MOTOCICLETA,PLAZOS,FREEDOM,FIRE 125,2,GASOLINA,MARITIMA DE ACAJUTLA,VEHICULO NUEVO,SANTA ANA,METAPAN,BAJA
88922,PARTICULAR,1989,0,0,5,6857.14,BLANCO,,6857.14,28/12/1994,1994,12,MICROBUS,PROPIEDAD,DODGE,GRAND CARAVAN,7,GASOLINA,,VEHICULO USADO,SAN SALVADOR,SAN SALVADOR,ALTA
88923,PARTICULAR,1989,0,0,2,5714.29,AZUL BLANCO,,5714.29,28/12/1994,1994,12,AUTOMOVIL,PROPIEDAD,DODGE,SPIRIT,5,GASOLINA,,VEHICULO USADO,SAN SALVADOR,SAN SALVADOR,ALTA
88924,PARTICULAR,1989,0,0,0,12780.91,PLATEADO,,12780.91,23/4/1993,1993,4,AUTOMOVIL,PROPIEDAD,DODGE,CARAVAN,5,GASOLINA,,VEHICULO USADO,SAN SALVADOR,SAN SALVADOR,BAJA
88925,PARTICULAR,1972,0,0,0,0,ROJO,,0,11/11/1988,1988,11,PICK UP,PROPIEDAD,TOYOTA,N/D,0.5,GASOLINA,,VEHICULO USADO,SAN SALVADOR,SAN SALVADOR,BAJA
88926,PARTICULAR,1980,0,0,0,0,GRISCLA NEGRO,,0,11/11/1988,1988,11,PICK UP,PROPIEDAD,DATSUN,N/D,1,GASOLINA,,VEHICULO USADO,USULUTAN,JIQUILISCO,ALTA
88927,PARTICULAR,1984,0,0,0,0,NEGRO GRIS,,0,11/11/1988,1988,11,PICK UP,PROPIEDAD,NISSAN,N/D,1,DIESEL,,VEHICULO USADO,LA LIBERTAD,CIUDAD ARCE,ALTA
88928,PARTICULAR,2005,4000,6,4,1758.74,AZUL,18/1/2012,1758.74,29/6/2012,2012,6,PICK UP,PROPIEDAD,FORD,RANGER,0.5,GASOLINA,SAN BARTOLO (SAN SALVADOR),VEHICULO USADO,SAN MIGUEL,SAN MIGUEL,ALTA
88929,PARTICULAR,1987,4000,0,0,0,DORADO ANARANJADO,,0,9/2/1989,1989,2,AUTOMOVIL,PROPIEDAD,JEEP,CHEROKEE,4,GASOLINA,,VEHICULO USADO,SANTA ANA,SANTA ANA,ALTA
88930,PARTICULAR,1975,0,0,0,0,AMARILLO,,0,11/11/1988,1988,11,PICK UP,PROPIEDAD,TOYOTA,N/D,1,GASOLINA,,VEHICULO USADO,LA LIBERTAD,LA LIBERTAD,ALTA
88931,PARTICULAR,1980,0,0,0,0,VERDE BLANCO,,0,11/11/1988,1988,11,AUTOMOVIL,PROPIEDAD,INTERNATIONAL,SCOUT II,5,DIESEL,,VEHICULO USADO,SAN SALVADOR,GUAZAPA,ALTA
88932,PARTICULAR,1987,1800,0,0,0,CELESTE,,0,23/2/1989,1989,2,AUTOMOVIL,PROPIEDAD,NISSAN,SENTRA,3,GASOLINA,,VEHICULO USADO,SAN SALVADOR,SAN SALVADOR,ALTA
88933,PARTICULAR,1986,0,0,0,0,GRIS,,0,5/4/1989,1989,4,PICK UP,PROPIEDAD,TOYOTA,N/D,1,GASOLINA,,VEHICULO USADO,LA LIBERTAD,LA LIBERTAD,ALTA
88934,PARTICULAR,1982,0,0,0,0,AMARILLO,,0,11/11/1988,1988,11,PICK UP,PROPIEDAD,DATSUN,N/D,1,GASOLINA,,VEHICULO USADO,CUSCATLAN,COJUTEPEQUE,BAJA
88935,PARTICULAR,1981,0,0,0,0,BLANCO AMARILLO AZUL,,0,6/1/1989,1989,1,PICK UP,PROPIEDAD,TOYOTA,N/D,1,GASOLINA,,VEHICULO USADO,MORAZAN,SAN FCO GOTERA,ALTA
88936,PARTICULAR,1988,1800,0,0,0,OCRE METALICO,,0,11/11/1988,1988,11,AUTOMOVIL,PROPIEDAD,NISSAN,SUNNY,5,GASOLINA,,VEHICULO USADO,SAN SALVADOR,SOYAPANGO,ALTA
88937,PARTICULAR,1977,0,0,0,0,NEGRO,,0,11/11/1988,1988,11,PICK UP,PROPIEDAD,DATSUN,CAMPER,0.5,GASOLINA,,VEHICULO USADO,MORAZAN,DELIC DE CONCEP,ALTA
88938,PARTICULAR,1980,0,0,0,0,ROJO AMARILLO,,0,11/11/1988,1988,11,PICK UP,PROPIEDAD,CHEVROLET,LUV,1,GASOLINA,,VEHICULO USADO,SANTA ANA,SANTA ANA,ALTA
88939,PARTICULAR,1980,0,0,0,0,NEGRO BLANCO,,0,11/11/1988,1988,11,PICK UP,PROPIEDAD,TOYOTA,N/D,1,GASOLINA,,VEHICULO USADO,SAN MIGUEL,SAN MIGUEL,ALTA
